〇	10000
一	4683506
丁	39595
丂	0
七	21955
丄	0
丅	0
丆	0
万	204955
丈	129832
三	71802
上	3154032
下	2313202
丌	8
不	8150299
与	838641
丏	0
丐	25995
丑	35681
丒	0
专	154569
且	316542
丕	770
世	424088
丗	0
丘	11120
丙	5010
业	683016
丛	29209
东	339205
丝	120772
丞	1368
丟	0
丠	0
両	0
丢	52027
丣	0
两	1128173
严	171184
並	0
丧	40475
丨	20
丩	0
个	3196402
丫	36823
丬	25
中	2817379
丮	0
丯	0
丰	48426
丱	0
串	31189
丳	0
临	95291
丵	0
丶	35
丷	0
丸	15695
丹	46327
为	2428110
主	880522
丼	0
丽	90166
举	257335
丿	2
乀	0
乁	0
乂	0
乃	90849
乄	0
久	208799
乆	0
乇	2
么	1876914
义	253672
乊	0
之	1897264
乌	42380
乍	15503
乎	263811
乏	27860
乐	185943
乑	0
乒	6180
乓	4776
乔	13846
乕	0
乖	38523
乗	0
乘	62265
乙	12592
乚	0
乛	0
乜	86
九	18320
乞	16144
也	2297133
习	123401
乡	108127
乢	0
乣	0
乤	0
乥	0
书	348979
乧	0
乨	0
乩	280
乪	0
乫	0
乬	0
乭	0
乮	0
乯	0
买	100582
乱	168039
乲	0
乳	15081
乴	0
乵	0
乶	0
乷	0
乸	0
乹	0
乺	0
乻	0
乼	0
乽	0
乾	21447
乿	0
亀	0
亁	0
亂	0
亃	0
亄	0
亅	0
了	7332450
亇	0
予	56051
争	167268
亊	0
事	1356654
二	160840
亍	177
于	1066260
亏	46812
亐	0
云	246143
互	95226
亓	52
五	57123
井	29954
亖	0
亗	0
亘	3169
亙	3
亚	86649
些	807425
亜	0
亝	0
亞	2
亟	3158
亠	1
亡	63139
亢	2184
亣	0
交	382760
亥	720
亦	115613
产	418228
亨	2282
亩	26582
亪	0
享	50586
京	216288
亭	28015
亮	137659
亯	0
亰	0
亱	0
亲	407904
亳	225
亴	0
亵	2865
亶	132
亷	0
亸	22
亹	37
人	5531015
亻	59
亼	0
亽	1
亾	0
亿	8906
什	958989
仁	30190
仂	2
仃	804
仄	1207
仅	138053
仆	37381
仇	91066
仈	24
仉	15
今	542304
介	77075
仌	0
仍	227008
从	822955
仏	0
仐	0
仑	3541
仒	1
仓	17717
仔	44248
仕	3694
他	5785355
仗	30934
付	107267
仙	115720
仚	0
仛	0
仜	0
仝	32
仞	2034
仟	765
仠	0
仡	67
仢	0
代	407463
令	301202
以	1994015
仦	0
仧	0
仨	135
仩	0
仪	40096
仫	89
们	2274570
仭	3
仮	0
仯	0
仰	53793
仱	2
仲	13792
仳	15
仴	0
仵	406
件	408410
价	145762
仸	0
仹	0
仺	0
任	418707
仼	0
份	136129
仾	0
仿	64400
伀	11
企	251423
伂	2
伃	2
伄	1
伅	0
伆	0
伇	0
伈	2
伉	899
伊	37042
伋	2
伌	24
伍	38763
伎	2865
伏	59237
伐	21069
休	90283
伒	0
伓	13
伔	1
伕	138
伖	0
众	278541
优	140622
伙	97598
会	2092477
伛	263
伜	0
伝	0
伞	7731
伟	45522
传	321314
伡	0
伢	97
伣	0
伤	284516
伥	347
伦	32583
伧	73
伨	0
伩	1
伪	19682
伫	3638
伬	0
伭	0
伮	0
伯	70895
估	29006
伱	0
伲	26
伳	1
伴	56118
伵	0
伶	9431
伷	82
伸	117312
伹	2
伺	11728
伻	38
似	377608
伽	967
伾	1
伿	1
佀	0
佁	3
佂	0
佃	777
佄	0
佅	1
但	974701
佇	61
佈	7
佉	2
佊	24
佋	0
佌	1
位	616020
低	225940
住	655647
佐	5846
佑	12153
佒	4
体	510831
佔	19
何	619072
佖	24
佗	8
佘	92
余	102882
佚	672
佛	116247
作	1109891
佝	171
佞	1115
佟	3312
你	3824276
佡	0
佢	7
佣	10200
佤	163
佥	803
佦	0
佧	1
佨	24
佩	41379
佪	2
佫	0
佬	4752
佭	0
佮	2
佯	5078
佰	457
佱	0
佲	0
佳	43895
佴	2
併	18
佶	70
佷	30
佸	1
佹	7
佺	71
佻	1322
佼	1732
佽	20
佾	64
使	590177
侀	4
侁	15
侂	9
侃	5663
侄	19098
侅	0
來	5
侇	1
侈	3124
侉	130
侊	0
例	92874
侌	0
侍	47033
侎	0
侏	734
侐	1
侑	225
侒	24
侓	1
侔	8
侕	0
侖	1
侗	114
侘	11
侙	0
侚	1
供	123628
侜	0
依	181127
侞	0
侟	0
侠	42967
価	0
侢	0
侣	10049
侤	0
侥	4843
侦	10739
侧	76545
侨	10744
侩	369
侪	272
侫	0
侬	2251
侭	0
侮	12783
侯	23454
侰	0
侱	0
侲	0
侳	0
侴	0
侵	32559
侶	0
侷	0
侸	0
侹	0
侺	0
侻	0
侼	0
侽	0
侾	0
便	637410
俀	0
俁	0
係	0
促	79406
俄	56181
俅	296
俆	0
俇	0
俈	0
俉	0
俊	37761
俋	0
俌	0
俍	0
俎	451
俏	18468
俐	6450
俑	1171
俒	0
俓	0
俔	0
俕	0
俖	0
俗	40885
俘	6066
俙	0
俚	517
俛	0
俜	42
保	350768
俞	636
俟	2
俠	0
信	539021
俢	0
俣	46
俤	0
俥	0
俦	1
俧	0
俨	3187
俩	41043
俪	1263
俫	0
俬	4
俭	4307
修	114466
俯	19516
俰	0
俱	51803
俲	0
俳	324
俴	0
俵	0
俶	3
俷	0
俸	1354
俹	0
俺	9744
俻	24
俼	0
俽	0
俾	736
俿	0
倀	0
倁	0
倂	0
倃	0
倄	0
倅	0
倆	0
倇	0
倈	0
倉	0
倊	0
個	2
倌	2643
倍	37992
倎	0
倏	33166
倐	9
們	1
倒	305215
倓	2
倔	6471
倕	8
倖	29
倗	2
倘	19604
候	294765
倚	18987
倛	2
倜	2542
倝	0
倞	31
借	77844
倠	0
倡	11889
倢	2
倣	15
値	0
倥	224
倦	17065
倧	0
倨	1040
倩	9516
倪	4877
倫	1
倬	46
倭	919
倮	106
倯	0
倰	2
倱	0
倲	0
倳	0
倴	24
倵	346
倶	3
倷	1
倸	0
倹	0
债	31479
倻	0
值	152030
倽	0
倾	45410
倿	0
偀	0
偁	25
偂	0
偃	1525
偄	0
偅	3
偆	16
假	147964
偈	84
偉	0
偊	0
偋	1
偌	3933
偍	1
偎	6909
偏	82189
偐	1
偑	1
偒	0
偓	39
偔	0
偕	3881
偖	0
偗	0
偘	4
偙	0
做	353438
偛	1
停	171027
偝	38
偞	3
偟	9
偠	0
偡	0
偢	3
偣	4
偤	0
健	69017
偦	0
偧	0
偨	1
偩	2
偪	15
偫	4
偬	17
偭	20
偮	2
偯	17
偰	9
偱	0
偲	26
偳	0
側	3
偵	2
偶	32643
偷	84658
偸	0
偹	24
偺	0
偻	142
偼	0
偽	3
偾	281
偿	24574
傀	1304
傁	0
傂	2
傃	4
傄	0
傅	17863
傆	0
傇	0
傈	215
傉	0
傊	0
傋	2
傌	2
